Blood Diamond,125258555,142212643.8,35564748,2963729,12,8076,640,98,3752,739,214039208
The Wolf of Wall Street,108465694,128441645.3,498756168,27708676,18,93214,5055,98,5278,2018,425186274
Cloud Atlas,112294533,152136776.8,665829909,24660367,27,90763,3346,31,255,10,143652086
Legend of the Guardians: The Owls of Ga'Hoole,92801259,206223286.1,120715088,4642888,26,11890,447,31,7,4,162487337
Catwoman,133661901,75644929.29,22128365,3161195,7,11014,1427,98,5299,1036,109739600
Hercules,106757573,199036440.8,32610864,2038179,16,5348,325,120,3744,828,259847933
Treasure Planet,196599200,357572775.5,29482250,1179290,25,3423,133,19,964,282,153878355
Land of the Lost,117857599,101586370.1,23382524,2125684,11,3995,336,116,7207,7997,80955007
The Expendables 3,96081816,160145531,710825136,25386612,28,74460,2569,100,339,196,220104804
Point Break,111983468,115054484.4,81678087,27226029,3,57977,15850,120,2659,442,142612238
In the Heart of the Sea,106650922,226496137.5,307000060,15350003,20,37944,1894,115,2889,1162,100060704
The Adventures of Pluto Nash,140428000,122564265.5,866400,433200,2,841,321,60,31,15,9975967
Green Zone,116001574,72045048.27,10623501,1517643,7,2705,365,116,2623,610,110065645
The Peanuts Movie,105584413,72553201.21,69156423,7684047,9,28561,2963,119,1969,1577,262609885
The Mummy Returns,139821351,145680920.9,5080971,725853,7,2404,336,117,2428,633,617801029
Gangs of New York,140428000,171757584,34092168,1549644,22,3729,169,117,3550,1350,272110851
金陵十三釵,105660348,54462073.85,3225850,322585,10,649,64,17,5,6,107134461
Surf's Up,103569817,122229698.3,2036016,509004,4,523,111,119,2568,516,181606034
The Stepford Wives,120295711,139854031.5,8761536,547596,16,1574,94,115,784,244,136335139
Black Hawk Down,131260860,193999331.6,18049584,2256198,8,8870,1099,60,126,37,246812721
Sex and the City 2,116001574,126207017.5,3432850,686570,5,2365,439,97,1462,126,334487861
The Road to El Dorado,139336256,139071154.3,6313170,1262634,5,831,145,101,5330,1751,112103685
Ice Age: Continental Drift,104588046,342557947.8,32639348,4662764,7,16509,2074,92,262,232,965782287
Cinderella,101318376,172566595.5,558687840,34917990,16,122832,7618,110,2207,352,579663069
The Lovely Bones,76607439,106572997.4,7259405,1451881,5,2867,554,13,7,0,110227010
Finding Nemo,129034526,370058219.9,10475034,1745839,6,2050,324,100,417,46,1290805849
The Lord of the Rings: The Return of the King,129034526,521341191.4,190757280,3974110,48,16767,346,76,318,75,1535907538
